BaseCurrency,WantedCurrency,AmountInBaseCurrency,ClientType,TransactionTime
AUD,SGD,3500000,Corporate,9:39
USD,SGD,1500000,Corporate,10:57
USD,SGD,5000000,Corporate,11:13
AUD,CNY,4300,Individual,10:35
CNY,USD,3500,Individual,11:47
USD,SGD,5500,Individual,9:35
CNY,SGD,45000000,Corporate,10:27
AUD,SGD,2200,Individual,11:49
CNY,USD,25000000,Corporate,10:36
AUD,USD,4560,Individual,9:34
EUR,USD,15000,Individual,9:21
SGD,AUD,15000000,Corporate,10:57
AUD,CNY,1500000,Corporate,9:11
CNY,SGD,5000,Individual,9:30
SGD,AUD,6500,Individual,9:39
SGD,USD,4600,Individual,11:38
EUR,USD,2000,Individual,9:11
USD,EUR,11000,Individual,9:33
USD,EUR,8900,Individual,10:37
AUD,USD,12000,Individual,9:56
SGD,USD,10000000,Corporate,10:44
SGD,AUD,7000,Individual,11:22
SGD,CNY,2500,Individual,9:48
CNY,SGD,13000,Individual,11:16
SGD,USD,3000000,Corporate,11:27
CNY,USD,10000000,Corporate,10:21
CNY,SGD,3000000,Corporate,10:36
AUD,EUR,2010000,Corporate,10:50
SGD,USD,2550000,Corporate,9:33
EUR,USD,5500,Individual,11:24
CNY,USD,5000000,Corporate,11:56
CNY,USD,10000,Individual,10:10
USD,SGD,3000000,Corporate,10:31
